EmployeeID,Age,Gender,Department,JobRole,EducationLevel,MonthlyIncome,YearsAtCompany,PerformanceRating,Overtime,Attrition
EMP001,58,Male,HR,Recruiter,Diploma,19468,22,1,No,No
EMP002,27,Male,Operations,Operations Assistant,Master,58593,1,4,No,No
EMP003,56,Male,Marketing,Marketing Specialist,Master,17501,8,2,Yes,Yes
EMP004,37,Female,Marketing,Marketing Specialist,Diploma,38171,16,1,No,No
EMP005,56,Male,Marketing,Digital Marketer,Master,36325,6,3,Yes,Yes
EMP006,41,Male,Sales,Sales Administrator,Bachelor,25225,7,1,No,No
EMP007,53,Male,IT,System Administrator,Diploma,22612,10,4,No,Yes
EMP008,53,Female,Marketing,Marketing Specialist,Bachelor,32944,3,2,Yes,No
EMP009,36,Female,Operations,Operations Manager,Diploma,32279,2,5,No,No
EMP010,49,Male,Sales,Sales Executive,Master,50677,1,1,No,No
EMP011,33,Male,Finance,Accountant,Diploma,15299,8,4,Yes,No
EMP012,44,Male,Marketing,Marketing Specialist,Diploma,21132,3,4,Yes,Yes
EMP013,57,Female,IT,Data Engineer,Master,40316,2,3,No,Yes
EMP014,24,Female,Operations,Operations Manager,Master,35818,1,1,Yes,Yes
EMP015,39,Male,Sales,Sales Administrator,Bachelor,58330,1,2,Yes,No
EMP016,36,Male,Marketing,Marketing Specialist,Master,31954,7,3,Yes,Yes
EMP017,52,Male,Marketing,Digital Marketer,Master,57444,2,5,Yes,Yes
EMP018,42,Male,Marketing,Digital Marketer,Bachelor,51816,16,3,No,Yes
EMP019,51,Male,IT,System Administrator,Diploma,34714,9,4,Yes,Yes
EMP020,50,Female,Sales,Sales Executive,Bachelor,33593,3,3,No,No
EMP021,57,Male,Finance,Financial Analyst,Master,45057,17,2,No,No
EMP022,23,Female,Sales,Sales Executive,Diploma,20157,2,4,Yes,Yes
EMP023,47,Male,HR,Recruiter,Diploma,42903,22,2,No,Yes
EMP024,28,Female,Marketing,Digital Marketer,Diploma,18353,1,5,No,No
EMP025,52,Male,Operations,Operations Assistant,Bachelor,55399,3,2,Yes,No
EMP026,55,Female,IT,Data Analyst,Bachelor,33275,18,4,No,Yes
EMP027,40,Female,Finance,Financial Analyst,Master,16261,19,2,No,Yes
EMP028,35,Male,Sales,Sales Administrator,Diploma,32983,1,2,Yes,Yes
EMP029,22,Male,Operations,Operations Assistant,Bachelor,15594,1,1,No,No
EMP030,34,Female,HR,HR Manager,Bachelor,38595,8,3,Yes,Yes
EMP031,51,Male,Operations,Operations Manager,Diploma,53303,9,2,Yes,No
EMP032,58,Male,HR,Recruiter,Bachelor,28397,16,1,Yes,Yes
EMP033,48,Female,Operations,Operations Assistant,Diploma,53439,19,1,Yes,No
EMP034,46,Male,Operations,Operations Manager,Diploma,45073,25,2,No,Yes
EMP035,37,Male,IT,Data Engineer,Diploma,20916,15,5,No,Yes
EMP036,46,Female,IT,Data Engineer,Bachelor,49972,18,1,No,Yes
EMP037,49,Female,Operations,Operations Manager,Master,33936,14,3,Yes,Yes
EMP038,37,Female,HR,HR Manager,Diploma,24979,1,5,No,No
EMP039,54,Female,Operations,Operations Assistant,Bachelor,36222,2,3,No,No
EMP040,31,Male,HR,HR Manager,Diploma,25871,0,3,No,Yes
EMP041,51,Female,Marketing,Digital Marketer,Diploma,49568,16,2,No,Yes
EMP042,54,Female,Marketing,Marketing Specialist,Bachelor,27676,19,1,No,Yes
EMP043,38,Male,IT,System Administrator,Master,17535,5,5,No,No
EMP044,27,Male,IT,System Administrator,Master,24979,3,1,No,No
EMP045,36,Male,Sales,Sales Executive,Diploma,48436,13,5,Yes,No
EMP046,43,Male,IT,System Administrator,Bachelor,41823,7,1,No,No
EMP047,27,Male,Operations,Operations Manager,Master,34968,4,3,No,Yes
EMP048,56,Female,Finance,Accountant,Diploma,56666,13,5,Yes,Yes
EMP049,40,Female,Sales,Sales Executive,Bachelor,24184,7,1,No,No
EMP050,28,Male,IT,Business Analyst,Master,56057,5,3,Yes,No
EMP051,48,Female,Marketing,Digital Marketer,Bachelor,58617,1,4,Yes,Yes
EMP052,24,Male,IT,Data Analyst,Bachelor,29664,3,5,No,Yes
EMP053,42,Male,HR,Recruiter,Master,27091,8,5,No,No
EMP054,45,Female,Finance,Accountant,Master,23441,20,4,Yes,Yes
EMP055,35,Male,Finance,Accountant,Bachelor,26918,10,5,Yes,No
EMP056,47,Male,IT,Data Analyst,Master,43093,3,4,No,Yes
EMP057,22,Male,Operations,Operations Manager,Diploma,32049,0,1,Yes,No
